,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_10,recall_at_20,recall_at_50,recall_at_100,mean_rank,average_similarity,threshold
0,0.2489999771118164,0.3434000015258789,0.4054399490356445,0.45323996543884276,0.49107999801635743,0.6099599361419678,0.7286399841308594,0.8682399749755859,0.9400799751281739,36.817237854003906,0.6770855188369751,
1,0.24748001098632813,0.34019999504089354,0.4000400066375732,0.44551997184753417,0.48104000091552734,0.5863200187683105,0.6808799743652344,0.7713199615478515,0.8022799491882324,36.817237854003906,0.6770855188369751,0.55
2,0.24672000408172606,0.33919999599456785,0.39851999282836914,0.44320001602172854,0.47799997329711913,0.580840015411377,0.6712800025939941,0.7573999881744384,0.7862799644470215,36.817237854003906,0.6770855188369751,0.5607142857142857
3,0.2463599920272827,0.33828001022338866,0.3966799736022949,0.44047999382019043,0.4746399879455566,0.5749199867248536,0.6606799602508545,0.7427599430084229,0.7701199531555176,36.817237854003906,0.6770855188369751,0.5714285714285715
4,0.2455199956893921,0.33691997528076173,0.39435999393463134,0.437440013885498,0.47107996940612795,0.568239974975586,0.6501199722290039,0.7267600059509277,0.7522799968719482,36.817237854003906,0.6770855188369751,0.5821428571428572
5,0.24447999000549317,0.33483998775482177,0.3913599967956543,0.43347997665405275,0.46651997566223147,0.5600399971008301,0.6375999927520752,0.7098799705505371,0.7334799766540527,36.817237854003906,0.6770855188369751,0.5928571428571429
6,0.24335999488830568,0.3323999881744385,0.38796000480651854,0.4291999816894531,0.4611999988555908,0.5516400337219238,0.6247200012207031,0.6912799835205078,0.712999963760376,36.817237854003906,0.6770855188369751,0.6035714285714285
7,0.2420799970626831,0.3297999858856201,0.38399999141693114,0.42444000244140623,0.455840015411377,0.5428000450134277,0.6115599632263183,0.673199987411499,0.6925999641418457,36.817237854003906,0.6770855188369751,0.6142857142857143
8,0.2404399871826172,0.32655997276306153,0.3795999765396118,0.41868000030517577,0.4487599849700928,0.5315199851989746,0.5963199615478516,0.6524399757385254,0.6697999477386475,36.817237854003906,0.6770855188369751,0.625
9,0.23783998489379882,0.3221599817276001,0.37363998889923095,0.4112799644470215,0.43999996185302737,0.5184399604797363,0.578279972076416,0.6295599460601806,0.6445599555969238,36.817237854003906,0.6770855188369751,0.6357142857142857
10,0.23552000522613525,0.3180799961090088,0.3681999921798706,0.40464000701904296,0.4319200038909912,0.5053600311279297,0.560360050201416,0.6068400382995606,0.6196800231933594,36.817237854003906,0.6770855188369751,0.6464285714285714
11,0.23267998695373535,0.31303997039794923,0.36131997108459474,0.3964400053024292,0.42251996994018554,0.4907999992370605,0.5411599636077881,0.5830800056457519,0.5944399833679199,36.817237854003906,0.6770855188369751,0.6571428571428571
12,0.22836000919342042,0.30627999305725095,0.3525199890136719,0.3862799644470215,0.41055998802185056,0.47475996017456057,0.5207599639892578,0.558400011062622,0.5679999351501465,36.817237854003906,0.6770855188369751,0.6678571428571428
13,0.22423999309539794,0.29944000244140623,0.34335999488830565,0.3746000051498413,0.39728000164031985,0.45675997734069823,0.4985199451446533,0.5319200038909913,0.5403599739074707,36.817237854003906,0.6770855188369751,0.6785714285714286
14,0.22007999420166016,0.2915599822998047,0.333240008354187,0.3625199794769287,0.3834399938583374,0.4371200084686279,0.47455997467041017,0.5039999961853028,0.511359977722168,36.817237854003906,0.6770855188369751,0.6892857142857143
15,0.21519999504089354,0.2840399980545044,0.3234799861907959,0.35055999755859374,0.36995997428894045,0.41879997253417967,0.4523200035095215,0.47799997329711913,0.48420000076293945,36.817237854003906,0.6770855188369751,0.7
