,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_10,recall_at_20,recall_at_50,recall_at_100,mean_rank,average_similarity,threshold
0,0.5089000225067138,0.6376999855041504,0.7121000766754151,0.7645999908447265,0.8011000633239747,0.8975000381469727,0.9579999923706055,0.9872000694274903,0.9940001487731933,6.0488996505737305,0.6880127787590027,
1,0.5021999835968017,0.623900032043457,0.6898000717163086,0.7325000286102294,0.7607000350952149,0.8242000579833985,0.8508000373840332,0.8529000282287598,0.8529000282287598,6.0488996505737305,0.6880127787590027,0.55
2,0.5003000259399414,0.6193000793457031,0.6831000328063965,0.7230999946594239,0.7503000259399414,0.8091000556945801,0.8333000183105469,0.8347000122070313,0.8347000122070313,6.0488996505737305,0.6880127787590027,0.5607142857142857
3,0.49770007133483884,0.614400053024292,0.6764000415802002,0.7153000354766845,0.7414999961853027,0.7968000411987305,0.8185999870300293,0.8196000099182129,0.8196000099182129,6.0488996505737305,0.6880127787590027,0.5714285714285715
4,0.4941000461578369,0.6082000255584716,0.6688000679016113,0.7053000450134277,0.730000114440918,0.781100082397461,0.800100040435791,0.8009000778198242,0.8009000778198242,6.0488996505737305,0.6880127787590027,0.5821428571428572
5,0.49029998779296874,0.6022000312805176,0.6605000019073486,0.6954000473022461,0.7190000534057617,0.7659000396728516,0.7825001239776611,0.7828999996185303,0.7828999996185303,6.0488996505737305,0.6880127787590027,0.5928571428571429
6,0.48559999465942383,0.5943999767303467,0.6504000663757324,0.6826000690460206,0.7045000076293946,0.7476000308990478,0.7613000869750977,0.7614000320434571,0.7614000320434571,6.0488996505737305,0.6880127787590027,0.6035714285714285
7,0.4812000274658203,0.5860000610351562,0.6392000198364258,0.6693999767303467,0.6893000125885009,0.7269999980926514,0.738200044631958,0.7383000373840332,0.7383000373840332,6.0488996505737305,0.6880127787590027,0.6142857142857143
8,0.4752000331878662,0.575700044631958,0.6258999824523925,0.6530000686645507,0.6715000152587891,0.7039999485015869,0.7131999969482422,0.7131999969482422,0.7131999969482422,6.0488996505737305,0.6880127787590027,0.625
9,0.4677000045776367,0.5643000602722168,0.6107000350952149,0.6353000164031982,0.6521000385284423,0.6813000202178955,0.6886000633239746,0.6886000633239746,0.6886000633239746,6.0488996505737305,0.6880127787590027,0.6357142857142857
10,0.45999999046325685,0.5508000373840332,0.5934000015258789,0.6151000499725342,0.6301000118255615,0.6547000408172607,0.6607000350952148,0.6607000350952148,0.6607000350952148,6.0488996505737305,0.6880127787590027,0.6464285714285714
11,0.4505000591278076,0.535099983215332,0.5734000205993652,0.5926000118255615,0.6062000751495361,0.6279000282287598,0.6329000473022461,0.6329000473022461,0.6329000473022461,6.0488996505737305,0.6880127787590027,0.6571428571428571
12,0.44010004997253416,0.5195000171661377,0.5542000293731689,0.5711000919342041,0.5826000213623047,0.601200008392334,0.6054000854492188,0.6054000854492188,0.6054000854492188,6.0488996505737305,0.6880127787590027,0.6678571428571428
13,0.42769999504089357,0.5027999877929688,0.5342000007629395,0.5492000579833984,0.5584001064300537,0.5730000019073487,0.5760000228881836,0.5760000228881836,0.5760000228881836,6.0488996505737305,0.6880127787590027,0.6785714285714286
14,0.4129000186920166,0.4814000129699707,0.5093999862670898,0.5216000556945801,0.5284000396728515,0.5399000644683838,0.5420000553131104,0.5420000553131104,0.5420000553131104,6.0488996505737305,0.6880127787590027,0.6892857142857143
15,0.39540002346038816,0.4574000358581543,0.48130002021789553,0.4916999816894531,0.4973000526428223,0.5072000026702881,0.5085999965667725,0.5085999965667725,0.5085999965667725,6.0488996505737305,0.6880127787590027,0.7
